arm,seed,split,lane,scenario_id,success,recorded_feasible_success,outcome,time_s,final_distance_m,final_speed_mps,path_m,straight_distance_m,energy_proxy_j,handovers,outage_s,dropped_bits,delay_proxy_mean_s,interference_mean_w,sinr_mean_db,sinr_p05_db,rss_mean_dbm,raw_return,path_to_endpoint_distance_ratio,service_deficit_fraction,longest_service_deficit_s,delay_above_one_s_fraction,max_delay_proxy_s,final_buffer_bits
reward_only,1105,longer_test,76,42013_0076,True,True,success,98.0,8.394808769226074,1.9561989307403564,1479.25244140625,1481.81103515625,21582.599609375,8,0.0,0.0,1.6273847423607901,5.584249099776607e-07,-8.115398406982422,-19.25556182861328,-40.81632614135742,33.70795402722433,0.9982733333135624,0.30612244897959184,5.0,0.20408163265306123,28.665939331054688,0.0
reward_only,1105,longer_test,77,42013_0077,True,True,success,94.0,3.7517282962799072,0.3905695676803589,1589.06884765625,1580.032958984375,22524.091796875,9,0.0,0.0,3.8604952102982777,8.171579718889993e-07,-9.269597053527832,-19.695241928100586,-40.26595687866211,35.030452843755484,1.0057187975861486,0.32978723404255317,5.0,0.2872340425531915,183.25537109375,0.0
reward_only,1105,longer_test,78,42013_0078,True,True,success,69.0,5.757491588592529,1.0117863416671753,1064.6578369140625,1053.537353515625,15044.5009765625,6,0.0,0.0,2.596289544055859,3.360960679492234e-07,-7.011483192443848,-17.227745056152344,-42.18840408325195,28.95495992526412,1.0105553764765234,0.2318840579710145,5.0,0.14492753623188406,77.89045715332031,0.0
reward_only,1105,longer_test,79,42013_0079,True,True,success,81.0,5.06231689453125,0.8729751706123352,1288.8121337890625,1276.0677490234375,18334.12109375,3,0.0,0.0,1.6851782817278562,6.113436868726699e-07,-7.129787921905518,-17.826770782470703,-39.543209075927734,31.71020564995706,1.0099872320849563,0.2345679012345679,5.0,0.20987654320987653,29.01468849182129,0.0
reward_only,1105,longer_test,80,42013_0080,True,True,success,70.0,5.2953410148620605,0.916185200214386,1132.8824462890625,1121.5423583984375,15838.1962890625,8,0.0,0.0,5.0809887182499684,8.293796733076825e-07,-9.967744827270508,-20.71265411376953,-40.85714340209961,28.988979287445545,1.0101111543453594,0.44285714285714284,8.0,0.38571428571428573,93.5437240600586,0.0
reward_only,1105,longer_test,81,42013_0081,True,True,success,93.0,2.0579473972320557,1.4212427139282227,1394.7540283203125,1385.7369384765625,20332.04296875,6,0.0,0.0,0.5577298372343023,7.293682061469642e-07,-6.91608190536499,-14.069967269897461,-38.537635803222656,32.819991225376725,1.006507071864349,0.24731182795698925,7.0,0.16129032258064516,9.7495698928833,0.0
reward_only,1105,longer_test,82,42013_0082,True,True,success,74.0,5.543649196624756,1.4578428268432617,1231.4197998046875,1219.3516845703125,17189.734375,7,0.0,0.0,4.389833235207039,9.441817174111084e-07,-10.106267929077148,-19.529762268066406,-40.554054260253906,29.980287592858076,1.0098971571426727,0.4189189189189189,5.0,0.43243243243243246,112.64445495605469,293317.0
reward_only,1105,longer_test,83,42013_0083,True,True,success,69.0,3.1887853145599365,0.9149851202964783,1056.70703125,1048.590576171875,14805.9423828125,3,0.0,0.0,1.2882551385656646,7.070000273468369e-07,-6.1630096435546875,-15.922249794006348,-37.869564056396484,29.153589017689228,1.0077403471503206,0.2608695652173913,6.0,0.14492753623188406,18.28569221496582,0.0
reward_only,1105,longer_test,84,42013_0084,True,True,success,75.0,2.0704267024993896,1.5100719928741455,1164.771728515625,1156.85595703125,16412.337890625,11,0.0,0.0,9.440624562303226,8.134359597988805e-07,-10.815631866455078,-23.952430725097656,-41.813331604003906,29.101033430546522,1.0068424866866645,0.41333333333333333,4.0,0.3466666666666667,200.0,0.0
reward_only,1105,longer_test,85,42013_0085,True,True,success,107.0,4.2262396812438965,1.9583770036697388,1589.838134765625,1585.1822509765625,23423.48828125,7,1.0,0.0,2.834846741685243,7.437172063159736e-07,-9.031003952026367,-15.900433540344238,-40.06542205810547,35.049104699864984,1.002937128387726,0.2897196261682243,5.0,0.19626168224299065,200.0,0.0
reward_only,1105,longer_test,86,42013_0086,True,True,success,75.0,6.720547199249268,1.6305887699127197,1243.634033203125,1230.79736328125,17524.82421875,6,1.0,0.0,4.57024762597556,8.168530780494621e-07,-8.337514877319336,-17.240482330322266,-38.599998474121094,31.27398994937539,1.0104295559162175,0.22666666666666666,4.0,0.13333333333333333,200.0,0.0
reward_only,1105,longer_test,87,42013_0087,True,True,success,70.0,3.48095703125,0.9524310231208801,1020.2246704101562,1010.6632080078125,14655.5869140625,4,0.0,0.0,0.9892093443444797,8.533150061599112e-07,-7.447414875030518,-19.145421981811523,-38.400001525878906,28.42307835444808,1.00946058224598,0.2,4.0,0.2,11.028118133544922,0.0
reward_only,1105,longer_test,88,42013_0088,True,True,success,106.0,1.7688757181167603,1.4787625074386597,1460.4794921875,1450.8870849609375,21905.21484375,8,0.0,0.0,2.232389841259475,8.023731491551377e-07,-7.579070091247559,-19.813282012939453,-38.69811248779297,32.75740697979927,1.0066114085141373,0.27358490566037735,4.0,0.24528301886792453,63.066932678222656,0.0
reward_only,1105,longer_test,89,42013_0089,True,True,success,111.0,3.2087771892547607,1.9722291231155396,1689.0762939453125,1681.9495849609375,24675.419921875,10,0.0,0.0,0.9130407857985513,5.675425506774241e-07,-6.938258647918701,-16.415660858154297,-39.68468475341797,36.92345678433776,1.0042371715823697,0.2072072072072072,3.0,0.09009009009009009,32.35570526123047,0.0
reward_only,1105,longer_test,90,42013_0090,True,True,success,78.0,1.5955572128295898,0.6173427700996399,1286.3829345703125,1277.9283447265625,18075.939453125,8,0.0,0.0,1.5145173656921356,7.460054445410162e-07,-8.427069664001465,-18.004934310913086,-39.88461685180664,31.38606566749513,1.006615855950483,0.34615384615384615,6.0,0.2564102564102564,29.09629249572754,0.0
