lane,scenario_id,success,recorded_feasible_success,outcome,time_s,final_distance_m,final_speed_mps,path_m,straight_distance_m,energy_proxy_j,handovers,outage_s,dropped_bits,delay_proxy_mean_s,interference_mean_w,sinr_mean_db,sinr_p05_db,rss_mean_dbm,raw_return
61,42003_0061,True,True,success,77.0,0.5345492362976074,2.384185791015625e-07,1774.1534423828125,1773.6195068359375,24915.625,10,0.0,0.0,1.8068755084479398,9.837559267517854e-07,-9.569060325622559,-17.204030990600586,-39.74026107788086,38.84697995707393
62,42003_0062,True,True,success,60.0,0.1002873033285141,0.5500398278236389,1355.05224609375,1354.951904296875,19027.23046875,6,0.0,0.0,1.293684860462478,1.1028750852422794e-06,-8.884785652160645,-18.438844680786133,-38.63333511352539,33.81716808117926
63,42003_0063,True,True,success,48.0,0.06957419216632843,0.6323339343070984,1055.5340576171875,1055.4642333984375,14832.2802734375,2,0.0,0.0,1.2132279062643647,6.919724941193787e-07,-8.47998332977295,-18.794517517089844,-40.375,30.195246536284685
64,42003_0064,True,True,success,56.0,0.8029538989067078,0.0,1243.4239501953125,1242.62109375,17506.7421875,5,0.0,0.0,2.539051939388238,9.146670966028328e-07,-9.800153732299805,-18.842010498046875,-40.26785659790039,31.893999475985765
65,42003_0065,True,False,success,70.0,0.7522479295730591,5.960464477539063e-08,1590.9598388671875,1590.2073974609375,22381.29296875,5,7.0,0.0,54938.547219732216,3.049224505145633e-07,-20.745893478393555,-150.0,-50.25714111328125,36.75165370479226
66,42003_0066,True,True,success,51.0,0.42872512340545654,3.3717478231665154e-07,1125.2398681640625,1124.810791015625,15827.123046875,5,0.0,0.0,0.8981944950041818,7.176642609510072e-07,-7.550599575042725,-18.728086471557617,-39.27450942993164,30.934532642364502
67,42003_0067,True,True,success,66.0,0.14877942204475403,0.4009192883968353,1504.1925048828125,1504.0439453125,21118.232421875,2,0.0,0.0,0.19141587200151247,8.441047155525722e-07,-6.0117268562316895,-12.00117301940918,-36.878787994384766,36.4626297801733
68,42003_0068,True,True,success,51.0,0.16818127036094666,1.1257421970367432,1133.4659423828125,1133.634033203125,15913.7705078125,3,2.0,0.0,11769.237773127415,6.219569620631827e-07,-14.549039840698242,-24.513641357421875,-44.70588302612305,30.12769326940179
69,42003_0069,True,True,success,63.0,0.16722390055656433,0.3365142345428467,1428.8145751953125,1428.6475830078125,20064.404296875,6,1.0,0.0,4657.320721901436,7.964139407639388e-07,-9.982428550720215,-21.891761779785156,-40.349205017089844,34.62421905621886
70,42003_0070,True,True,success,76.0,0.36819976568222046,6.743495646333031e-07,1750.79833984375,1750.4312744140625,24583.11328125,9,0.0,0.0,3.3478935237263183,6.962333983258424e-07,-8.082995414733887,-18.927860260009766,-39.921051025390625,39.10149323567748
71,42003_0071,True,True,success,73.0,0.44574758410453796,1.922481894493103,1687.0509033203125,1687.4954833984375,23652.91796875,7,1.0,0.0,2740.8010333839243,5.819893864124785e-07,-9.83253288269043,-15.656100273132324,-41.657535552978516,38.461209032684565
72,42003_0072,True,True,success,48.0,0.43930694460868835,1.7802428007125854,1061.6387939453125,1062.0784912109375,14898.568359375,4,0.0,0.0,1.3299684361554682,7.626319640981668e-07,-7.580933094024658,-19.204296112060547,-38.91666793823242,30.172083470970392
73,42003_0073,True,True,success,51.0,0.7912514209747314,5.331201577973843e-07,1119.6302490234375,1118.8387451171875,15769.591796875,8,0.0,0.0,10.522232925190645,8.134403765994006e-07,-11.87958812713623,-23.380184173583984,-42.94117736816406,29.76821907237172
74,42003_0074,True,False,success,58.0,0.1079929918050766,1.0178699493408203,1307.8211669921875,1307.9296875,18356.708984375,2,3.0,0.0,36393.657068968336,3.172604547197305e-07,-13.059832572937012,-43.009178161621094,-45.67241287231445,33.332955215126276
75,42003_0075,True,True,success,76.0,0.30288416147232056,1.3432601690292358,1759.7869873046875,1760.0887451171875,24678.298828125,6,2.0,0.0,12855.729816569701,8.864938892902262e-07,-13.823336601257324,-27.835405349731445,-43.1184196472168,38.811930667608976
76,42003_0076,True,True,success,59.0,0.7615979909896851,7.450580596923828e-09,1316.1929931640625,1315.4312744140625,18533.607421875,6,0.0,0.0,2.742802279985557,3.4010684919972475e-07,-8.191264152526855,-17.643939971923828,-43.1016960144043,33.12364570423961
77,42003_0077,True,True,success,65.0,0.6571803689002991,1.1920928955078125e-07,1464.4122314453125,1463.7552490234375,20616.072265625,5,0.0,0.0,4.794655724084721,3.9221187430135056e-07,-8.174504280090332,-18.041709899902344,-42.43077087402344,34.9650028757751
